"transaction_id","bank","occurred_at","month","transaction_type","amount","category","review_status","include_in_spending","cashflow_type","counterparty","content","debt_person","principal_amount","interest_amount","telegram_message_id","email_id","raw_subject","raw_from","raw_snippet","personal_amount","shared_with_count","reimbursable_amount","split_note"
"demo-202607-002","MB Bank","2026-07-02 12:30:40","2026-07","expense","45000","Ăn uống","confirmed","TRUE","spending","LITTLE KITCHEN DEMO","anuong lunch","","","","","email-demo-014","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 45000 VND noi dung anuong lunch","","","",""
"demo-202607-003","MB Bank","2026-07-03 19:30:06","2026-07","expense","125000","Siêu thị","confirmed","TRUE","spending","24H MART DEMO","sieuthi snacks","","","","","email-demo-015","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 125000 VND noi dung sieuthi snacks","","","",""
"demo-202607-004","MB Bank","2026-07-05 20:24:52","2026-07","expense","2500000","Nhà cửa","confirmed","TRUE","spending","LANDLORD DEMO","nhatro rent","","","","","email-demo-016","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 2500000 VND noi dung nhatro rent","","","",""
"demo-202607-005","MB Bank","2026-07-08 09:32:55","2026-07","expense","30000","Ăn uống","confirmed","TRUE","spending","STREET FOOD DEMO","anuong breakfast","","","","","email-demo-017","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 30000 VND noi dung anuong breakfast","","","",""
"demo-202607-006","MB Bank","2026-07-10 20:50:50","2026-07","expense","1500000","Cho vay","confirmed","FALSE","loan_out","FRIEND B DEMO","chovay emergency","FRIEND B DEMO","1500000","0","","email-demo-018","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 1500000 VND noi dung chovay emergency","","","",""
"demo-202607-007","MB Bank","2026-07-15 21:54:34","2026-07","expense","1575000","Cho vay","confirmed","FALSE","loan_out","FRIEND C DEMO","chovay tuition","FRIEND C DEMO","1575000","0","","email-demo-019","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 1575000 VND noi dung chovay tuition","","","",""
"demo-202607-008","MB Bank","2026-07-18 07:02:56","2026-07","expense","250000","Học tập","confirmed","TRUE","spending","ONLINE COURSE DEMO","hocphi course","","","","","email-demo-020","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 250000 VND noi dung hocphi course","","","",""
"demo-202607-009","MB Bank","2026-07-20 11:53:02","2026-07","income","1000000","Vay nhận vào","confirmed","FALSE","loan_in","FRIEND D DEMO","vay tien thang 7","FRIEND D DEMO","1000000","0","","email-demo-021","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan ghi co 1000000 VND noi dung vay tien thang 7","","","",""
"demo-202607-010","MB Bank","2026-07-22 10:08:32","2026-07","expense","35000","Ăn uống","confirmed","TRUE","spending","COFFEE HOUSE DEMO","anuong coffee","","","","","email-demo-022","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 35000 VND noi dung anuong coffee","","","",""
"demo-202607-011","MB Bank","2026-07-24 20:24:59","2026-07","expense","192000","Ăn uống","confirmed","TRUE","spending","BBQ DEMO","anuong dinner","","","","","email-demo-023","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 192000 VND noi dung anuong dinner","","","",""
"demo-202607-012","MB Bank","2026-07-27 10:43:40","2026-07","income","500000","Vay nhận vào","confirmed","FALSE","loan_in","FRIEND E DEMO","vay cashflow","FRIEND E DEMO","500000","0","","email-demo-024","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan ghi co 500000 VND noi dung vay cashflow","","","",""
"demo-202607-013","MB Bank","2026-07-29 13:03:46","2026-07","expense","30000","Ăn uống","confirmed","TRUE","spending","BANH MI DEMO","anuong snack","","","","","email-demo-025","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 30000 VND noi dung anuong snack","","","",""
"demo-202607-014","MB Bank","2026-07-30 08:07:55","2026-07","expense","1100000","Sức khỏe","confirmed","TRUE","spending","DENTAL CLINIC DEMO","suckhoe dental","","","","","email-demo-026","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 1100000 VND noi dung suckhoe dental","","","",""
"demo-202607-015","MB Bank","2026-07-30 21:40:01","2026-07","expense","30000","Ăn uống","confirmed","TRUE","spending","TEA SHOP DEMO","anuong tea","","","","","email-demo-027","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 30000 VND noi dung anuong tea","","","",""
"demo-202607-016","MB Bank","2026-07-31 13:03:18","2026-07","expense","45000","Ăn uống","confirmed","TRUE","spending","LITTLE KITCHEN DEMO","anuong lunch","","","","","email-demo-028","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 45000 VND noi dung anuong lunch","","","",""
"demo-202607-017","MB Bank","2026-07-31 22:10:00","2026-07","expense","400000","Trả nợ gốc","confirmed","FALSE","loan_repayment","FRIEND D DEMO","trano goc","FRIEND D DEMO","400000","0","","email-demo-029","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 400000 VND noi dung trano goc","","","",""
"demo-202607-018","MB Bank","2026-07-31 22:30:00","2026-07","expense","220000","Cần phân loại","needs_review","FALSE","needs_review","UNKNOWN ONLINE DEMO","subscription renewal","","","","","email-demo-030","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 220000 VND noi dung subscription renewal","","","",""
"demo-202608-001","MB Bank","2026-08-01 08:10:00","2026-08","income","16000000","Thu nhập","confirmed","FALSE","income","ACME ANALYTICS DEMO","luong thang 8","","","0","","email-demo-031","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan ghi co 16000000 VND noi dung luong thang 8","","","",""
"demo-202608-002","MB Bank","2026-08-01 12:05:00","2026-08","expense","38000","Ăn uống","confirmed","TRUE","spending","RICE BOWL DEMO","anuong lunch","","","","","email-demo-032","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 38000 VND noi dung anuong lunch","","","",""
"demo-202608-003","MB Bank","2026-08-02 19:15:00","2026-08","expense","65000","Di chuyển","confirmed","TRUE","spending","RIDE HAILING DEMO","dichuyen airport","","","","","email-demo-033","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 65000 VND noi dung dichuyen airport","","","",""
"demo-202608-004","MB Bank","2026-08-03 08:30:00","2026-08","expense","55000","Ăn uống","confirmed","TRUE","spending","COFFEE HOUSE DEMO","anuong breakfast","","","","","email-demo-034","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 55000 VND noi dung anuong breakfast","","","",""
"demo-202608-005","MB Bank","2026-08-03 20:45:00","2026-08","expense","238000","Ăn uống","confirmed","TRUE","spending","HOT POT DEMO","anuong dinner","","","","","email-demo-035","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 238000 VND noi dung anuong dinner","119000","2","119000","Dinner paid for 2 people; dashboard counts only personal share"
"demo-202608-006","MB Bank","2026-08-04 10:10:00","2026-08","expense","750000","Sức khỏe","confirmed","TRUE","spending","HEALTH CHECK DEMO","suckhoe checkup","","","","","email-demo-036","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 750000 VND noi dung suckhoe checkup","","","",""
"demo-202608-007","MB Bank","2026-08-04 18:20:00","2026-08","expense","120000","Cần phân loại","needs_review","FALSE","needs_review","UNKNOWN SHOP DEMO","quick purchase","","","","","email-demo-037","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 120000 VND noi dung quick purchase","","","",""
"demo-202608-008","MB Bank","2026-08-05 09:12:00","2026-08","expense","2500000","Nhà cửa","confirmed","TRUE","spending","LANDLORD DEMO","nhatro rent","","","","","email-demo-038","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 2500000 VND noi dung nhatro rent","","","",""
"demo-202608-009","MB Bank","2026-08-05 13:45:00","2026-08","expense","180000","Mua sắm","confirmed","TRUE","spending","BOOK STORE DEMO","muasam notebook","","","","","email-demo-039","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 180000 VND noi dung muasam notebook","","","",""
"demo-202608-010","MB Bank","2026-08-05 19:20:00","2026-08","income","500000","Thu hồi cho vay","confirmed","FALSE","loan_collection","FRIEND B DEMO","thuhoino partial","FRIEND B DEMO","500000","0","","email-demo-040","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan ghi co 500000 VND noi dung thuhoino partial","","","",""
